region,year,acc_cl_nm,acc_cnt,acc_cnt_cmrt,dth_dnv_cnt,dth_dnv_cnt_cmrt,ftlt_rate,injpsn_cnt,injpsn_cnt_cmrt,tot_acc_cnt,tot_dth_dnv_cnt,tot_injpsn_cnt
삼척시,2012,어린이사고,19,0.15,0,0.0,0.0,28,0.18,12497,83,15485
삼척시,2012,고령자사고,73,0.26,3,0.16,4.11,92,0.31,28185,1864,29699
삼척시,2012,보행자사고,48,0.09,3,0.15,6.25,51,0.1,51044,2027,51693
삼척시,2012,자전거사고,9,0.25,1,0.99,11.11,8,0.22,3547,101,3680
삼척시,2012,야간사고,138,0.13,3,0.11,2.17,224,0.14,107127,2805,165925
삼척시,2012,어린이보행사고,4,0.08,0,0.0,0.0,4,0.07,5247,54,5347
삼척시,2012,스쿨존내어린이사고,1,0.2,0,0.0,0.0,1,0.19,511,6,528
삼척시,2012,고령운전자사고,42,0.28,3,0.42,7.14,93,0.42,15190,718,22043
삼척시,2012,고령보행자사고,16,0.17,0,0.0,0.0,16,0.18,9515,959,8651
삼척시,2012,뺑소니사고,13,0.11,0,0.0,0.0,25,0.14,11452,234,18261
삼척시,2012,무면허사고,11,0.13,1,0.27,9.09,16,0.13,8185,365,11867
속초시,2012,전체사고,549,0.25,4,0.08,0.73,911,0.27,223656,5392,344565
속초시,2012,어린이사고,42,0.34,0,0.0,0.0,50,0.32,12497,83,15485
속초시,2012,고령자사고,55,0.2,2,0.11,3.64,57,0.19,28185,1864,29699
속초시,2012,보행자사고,108,0.21,0,0.0,0.0,113,0.22,51044,2027,51693
속초시,2012,자전거사고,3,0.08,0,0.0,0.0,3,0.08,3547,101,3680
속초시,2012,야간사고,251,0.23,2,0.07,0.8,429,0.26,107127,2805,165925
속초시,2012,어린이보행사고,15,0.29,0,0.0,0.0,15,0.28,5247,54,5347
속초시,2012,스쿨존내어린이사고,3,0.59,0,0.0,0.0,3,0.57,511,6,528
속초시,2012,고령운전자사고,56,0.37,0,0.0,0.0,83,0.38,15190,718,22043
속초시,2012,고령보행자사고,18,0.19,0,0.0,0.0,18,0.21,9515,959,8651
